pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
55d2833b-19fc-4540-a837-5bb015af5adf;90;1;2005-10-01;2006-09-30;2005-10-01;2006-09-30;1235;-1449;3071;2
399c46ec-f4bd-440a-848d-9e4cd64c258d;90;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;774;-916;2877;21
acfbebda-a92c-4780-9e7d-3a83425a51c4;90;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;1430;-570;2855;35
58a7a95d-80a2-499b-bcce-f48d9bfccae9;90;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30;1559;-1103;2965;15
e802004b-fa93-447e-af38-2db6922b3a63;90;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;996;-279;2835;40
987004d1-8c0a-45b2-9b45-2cedabb30554;90;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;965;-1507;3025;1
1744c03a-eb2c-484d-b8e5-9569c9e86469;90;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1527;-1336;3025;2
207f70d3-5eb6-4223-a5d0-cdac9041f31e;90;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1231;-264;2805;46
dfdf8c16-e897-4d96-9969-6c65d12458a9;90;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1164;-715;2875;31
a8e1f1d5-6117-4112-b96c-eba1cf119e5e;90;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;1223;-1577;3035;1
6cdb75e7-ac50-411c-971a-652674df23d1;90;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;1317;-661;2885;29
